abdelal01,Alaa,Abdelnaby,F-C,82,240,Duke,6/24/68
abdulka01,Kareem,Abdul-Jabbar,C,85,225,UCLA,4/16/47
abdulma01,Mahdi,Abdul-Rahman,G,74,185,UCLA,4/15/42
abdulma02,Mahmoud,Abdul-Rauf,G,73,162,Louisiana State,3/9/69
abdulta01,Tariq,Abdul-Wahad,G-F,78,223,San Jose State,11/3/74
abdulza01,Zaid,Abdul-Aziz,C-F,81,230,Iowa State,4/7/46
ablefo01,Forest,Able,G,75,180,Western Kentucky,7/27/32
abramjo01,John,Abramovic,F,75,195,Salem,2/9/19
ackeral01,Alex,Acker,G,77,185,Pepperdine,1/21/83
acresma01,Mark,Acres,F-C,83,220,Oral Roberts,11/15/62
adamsal01,Alvan,Adams,C-F,81,210,Oklahoma,7/19/54
adamsge01,George,Adams,F-G,77,210,Gardner-Webb,5/15/49
adamsha01,Hassan,Adams,G,76,220,Arizona,6/20/84
adamsmi01,Michael,Adams,G,70,162,Boston College,1/19/63
addisra01,Rafael,Addison,F-G,79,215,Syracuse,7/22/64
adrieje01,Jeff,Adrien,F,79,243,Connecticut,2/10/86
agerma01,Maurice,Ager,G,77,202,Michigan State,2/9/84
aguirma01,Mark,Aguirre,F-G,78,232,DePaul,12/10/59
akinhe01,Henry,Akin,C-F,82,225,Morehead State,7/31/44
alarima01,Mark,Alarie,F,80,217,Duke,12/11/63
alcorga01,Gary,Alcorn,C,81,225,Fresno State,10/8/36
aldrico01,Cole,Aldrich,C,83,245,Kansas,10/31/88
aldrila01,LaMarcus,Aldridge,F,83,240,Texas,7/19/85
alexaco01,Cory,Alexander,G,73,185,Virginia,6/22/73
alexaco02,Courtney,Alexander,G,77,205,Fresno State,4/27/77
alexaga01,Gary,Alexander,F,79,240,Jacksonville,11/1/69
alexavi01,Victor,Alexander,C-F,81,265,Iowa State,8/31/69
allenje01,Jerome,Allen,G,76,184,Pennsylvania,1/28/73
allenla01,Lavoy,Allen,F,81,225,Temple,2/4/89
allenlu01,Lucius,Allen,G,74,175,UCLA,9/26/47
allenma01,Malik,Allen,F,82,255,Villanova,6/27/78
allenwi01,Willie,Allen,F,78,230,Miami (FL),2/8/49
allisod01,Odis,Allison,F,78,195,UNLV,10/2/49
allrela01,Lance,Allred,C,83,250,Weber State,2/2/81
allumda01,Darrell,Allums,F,80.5,220,UCLA,9/12/58
almonmo01,Morris,Almond,G,78,215,Rice,2/2/85
alstode01,Derrick,Alston,F,83,225,Duquesne,8/20/72
alstora01,Rafer,Alston,G,74,171,Fresno State,7/24/76
alumape01,Peter,Aluma,C,82,260,Liberty,4/23/73
amaecjo01,John,Amaechi,C-F,81,270,Penn State,11/26/70
amayaas01,Ashraf,Amaya,F,79,230,Southern Illinois,11/23/71
aminual01,Al-Farouq,Aminu,F,81,215,Wake Forest,9/21/90
amundlo01,Louis,Amundson,F,81,225,UNLV,12/7/82
anderal01,Alan,Anderson,G-F,78,220,Michigan State,10/16/82
anderch01,Chris,Andersen,F-C,82,220,Blinn CC,7/7/78
anderda02,Daniel,Anderson,G,74,185,USC,1/1/51
anderde01,Derek,Anderson,G,76,194,Kentucky,7/18/74
anderdw01,Dwight,Anderson,G,75,175,USC,12/28/60
anderer01,Eric,Anderson,F,81,220,Indiana,5/26/70
anderja01,James,Anderson,G,78,215,Oklahoma State,3/25/89
anderje01,Jerome,Anderson,G,77,195,West Virginia,10/9/53
andermi01,Michael,Anderson,G,71,184,Drexel,3/23/66
anderri01,Richard,Anderson,F-C,82,240,Cal. St.-Santa Barbara,11/19/60
andersh01,Shandon,Anderson,F-G,78,208,Georgia,12/31/73
anderwi01,Willie,Anderson,G-F,79,190,Georgia,1/8/67
andrima01,Martynas,Andriuskevicius,C,86,240,none,3/12/86
anslemi01,Michael,Ansley,F,79,225,Alabama,2/8/67
anthoca01,Carmelo,Anthony,F,80,220,Syracuse,5/29/84
araujra01,Rafael,Araujo,C,83,290,Brigham Young,8/12/80
arcenst01,Stacey,Arceneaux,F,76,210,Iowa State (dnp) ?,2/17/36
archiro01,Robert,Archibald,F,83,250,Illinois,3/29/80
arenagi01,Gilbert,Arenas,G,75,191,Arizona ,1/6/82
arizatr01,Trevor,Ariza,F,79,194,UCLA,6/30/85
arizipa01,Paul,Arizin,F-G,74,190,Villanova,4/9/28
armstbr01,Brandon,Armstrong,G,77,185,Pepperdine,6/16/80
armstda01,Darrell,Armstrong,G,72,169,Fayetteville State,6/22/68
armsthi01,Hilton,Armstrong,F-C,83,235,Connecticut,11/11/84
arnetja01,Jay,Arnette,G,74,175,Texas,12/19/38
arthujo01,John,Arthurs,G,76,185,Tulane,8/15/47
asikom01,Omer,Asik,C-F,84,255,none,7/4/86
askewvi01,Vincent,Askew,G-F,77,210,Memphis State,2/28/66
askinke01,Keith,Askins,G-F,79,197,Alabama,12/15/67
augmost01,Stacey,Augmon,G-F,78,205,UNLV,8/1/68
augusja01,James,Augustine,F,82,235,Illinois,2/27/84
austiis01,Isaac,Austin,F-C,82,255,Arizona State,8/18/69
austike01,Ken,Austin,F,81,200,Rice,7/15/61
aventan01,Anthony,Avent,F,81,235,Seton Hall,10/18/69
averywi01,William,Avery,G,74,180,Duke,8/8/79
awtrede01,Dennis,Awtrey,C,82,235,Santa Clara,2/22/48
azubuke01,Kelenna,Azubuike,G,77,220,Kentucky,12/16/83
babbilu01,Luke,Babbitt,F,81,225,Nevada-Reno,6/20/89
babicmi01,Milos,Babic,C-F,84,240,Tennessee Tech,11/23/68
bagarda01,Dalibor,Bagaric,C,85,255,none,2/7/80
baglejo01,John,Bagley,G,72,185,Boston College,4/23/60
baileca01,Carl,Bailey,C,84,210,Tuskegee,4/23/58
baileja01,James,Bailey,F-C,81,220,Rutgers,5/21/57
baileth01,Thurl,Bailey,F-C,83,215,North Carolina State,4/7/61
bakerji01,Jimmie,Baker,F,81,220,Hawaii,12/25/53
bakerla01,LaMark,Baker,G,73,175,Ohio State,11/11/69
bakerma01,Maurice,Baker,G,73,175,Oklahoma State,7/28/79
balkmre01,Renaldo,Balkman,F,80,208,South Carolina,7/14/84
ballce01,Cedric,Ball,F,80,210,UNC-Charlotte,4/16/68
baltihe01,Herschel,Baltimore,F,76,195,Penn State,6/21/21
bankswa01,Walker,Banks,C,82,205,Western Kentucky,8/26/47
barbejo01,John,Barber,F,78,210,Los Angeles State,6/27/27
barbole01,Leandro,Barbosa,G,75,176,none,11/28/82
bargnan01,Andrea,Bargnani,F,84,225,none,10/26/85
barklch01,Charles,Barkley,F,77,250,Auburn,2/20/63
barkler01,Erick,Barkley,G,73,177,St. John's (NY),2/21/78
barneha01,Harry,Barnes,F,75,205,Northeastern,7/25/45
barnema01,Marvin,Barnes,F-C,80,210,Providence,7/27/52
barnema02,Matt,Barnes,F,79,235,UCLA,3/9/80
barnhjo01,John,Barnhill,G,73,170,Tennessee State,3/20/38
barnhno01,Norton,Barnhill,G,76,205,Washington State,7/15/53
barrean01,Andre,Barrett,G,70,172,Seton Hall,2/21/82
barreer01,Ernie,Barrett,G-F,75,180,Kansas State,8/27/29
barroda01,Dana,Barros,G,71,163,Boston College,4/13/67
barroea01,Earl,Barron,C,84,245,Memphis,8/14/81
barrybr01,Brent,Barry,G,78,185,Oregon State,12/31/71
barrydr01,Drew,Barry,G,77,190,Georgia Tech,2/17/73
barryjo01,Jon,Barry,G,76,195,Georgia Tech,7/25/69
baskeje01,Jerry,Baskerville,F,79,190,Temple,11/10/51
bassbr01,Brandon,Bass,F,80,240,Louisiana State,4/30/85
bastoma01,Maceo,Baston,F,81,215,Michigan ,5/29/75
bateeme01,Mengke,Bateer,C,83,290,none,11/20/75
battish01,Shane,Battier,G-F,80,220,Duke,9/9/78
battljo01,John,Battle,G,74,175,Rutgers,11/9/62
battsll01,Lloyd,Batts,G-F,76,185,Cincinnati,5/9/51
baxtelo01,Lonny,Baxter,F,79,260,Maryland,7/27/79
bayloel01,Elgin,Baylor,F,77,225,Seattle,9/16/34
bayneho01,Howard,Bayne,F,78,235,Tennessee,7/28/42
bazarse01,Sergei,Bazarevich,G,74,162,State Academy of Phys Ed.,3/16/65
beardra01,Ralph,Beard,G,70,175,Kentucky,12/2/27
beaslje01,Jerome,Beasley,F,81,237,North Dakota,5/17/80
beasljo01,John,Beasley,F-C,81,225,Texas A&M,2/5/44
beatyze01,Zelmo,Beaty,C,81,225,Prairie View A&M,10/25/39
beckco01,Corey,Beck,G,73,190,Arkansas,5/27/71
bedfowi01,William,Bedford,C,84,225,Memphis State,12/14/63
behnkel01,Elmer,Behnke,C,79,210,Bradley,2/3/29
bellch01,Charlie,Bell,G,75,200,Michigan State,3/12/79
bellde01,Dennis,Bell,F,77,185,Drake,6/2/51
bellra01,Raja,Bell,G,77,210,Florida International,9/19/76
belltr01,Troy,Bell,G,73,180,Boston College,11/10/80
benbole01,Leon,Benbow,G,76,185,Jacksonville,7/23/50
bendejo01,Jonathan,Bender,F,83,198,none,1/30/81
benjaco01,Corey,Benjamin,G,78,200,Oregon State,2/24/78
benneel01,Elmer,Bennett,G,72,170,Notre Dame,2/13/70
bennema01,Mario,Bennett,F,81,220,Arizona State,8/1/73
bennewi01,Winston,Bennett,F,79,210,Kentucky,2/9/65
benoida01,David,Benoit,F,80,220,Alabama,5/9/68
bensoke02,Keith,Benson,F-C,83,230,Oakland,8/13/88
bergega01,Gary,Bergen,C,80,210,Utah,7/16/32
berghla01,Larry,Bergh,F,79.5,210,Weber State,4/2/45
berryri01,Ricky,Berry,F,80,205,San Jose State,10/6/64
berrywa01,Walter,Berry,F,80,215,St. John's (NY),5/14/64
besttr01,Travis,Best,G,71,182,Georgia Tech,7/12/72
biedran01,Andris,Biedrins,F,83,240,none,4/2/86
billuch01,Chauncey,Billups,G,75,202,Colorado,9/25/76
biniojo01,Joe,Binion,F,80,225,North Carolina A&T,3/26/61
birdje01,Jerry,Bird,F,78,200,Kentucky,2/2/35
birdla01,Larry,Bird,F-G,81,220,Indiana State,12/7/56
birdsot01,Otis,Birdsong,G,75,190,Houston,12/9/55
blabuw01,Uwe,Blab,C,85,250,Indiana,3/26/62
blackco01,Cory,Blackwell,F,78,210,Wisconsin,3/27/63
blackja01,James,Blackwell,G,72,190,Dartmouth,2/25/68
blackno01,Norman,Black,G,77,185,St. Joseph's (PA),11/12/57
blackro01,Rolando,Blackman,G,78,190,Kansas State,2/26/59
blanege01,George,Blaney,G,73,175,Holy Cross,11/12/39
blankla01,Lance,Blanks,G,76,190,Texas,9/9/66
blantri01,Ricky,Blanton,F,79,215,Louisiana State,4/21/66
blatcan01,Andray,Blatche,F,83,235,none,8/22/86
bledser01,Eric,Bledsoe,G,73,195,Kentucky,12/9/89
blevile01,Leon,Blevins,G,74,160,Arizona,6/25/26
blockjo01,John,Block,F-C,81,207,USC,4/16/44
blounco01,Corie,Blount,F,81,240,Cincinnati,1/4/69
blounma01,Mark,Blount,C,84,230,Pittsburgh,11/30/75
bobbito01,Tony,Bobbitt,G,76,190,Cincinnati,10/22/79
bobbne01,Nelson,Bobb,G,72,170,Temple,2/25/24
boganke01,Keith,Bogans,G,77,215,Kentucky,5/12/80
bogutan01,Andrew,Bogut,C,84,245,Utah,11/28/84
bohanet01,Etdrick,Bohannon,F,81,220,Auburn-Montgomery,5/29/73
bolma01,Manute,Bol,C,90,200,Bridgeport,10/16/62
bondwa01,Walter,Bond,G,77,200,Minnesota,2/1/69
boneyde01,Dexter,Boney,G,76,185,UNLV,4/27/70
bonnean01,Anthony,Bonner,F,80,215,St. Louis,6/8/68
bonsage01,George,Bon Salle,F,80,220,Illinois,7/1/35
bookeme01,Melvin,Booker,G,73,185,Missouri,8/20/72
booketr01,Trevor,Booker,F,80,240,Clemson,11/25/87
boothca01,Calvin,Booth,C,83,230,Penn State,5/7/76
boothke01,Keith,Booth,F,77,226,Maryland,10/9/74
boozeca01,Carlos,Boozer,F-C,80,258,Duke,11/20/81
borchcu01,Curtis,Borchardt,C,84,240,Stanford,9/13/80
boumtru01,Ruben,Boumtje-Boumtje,C,84,245,Georgetown,5/20/78
bowenbr01,Bruce,Bowen,F-G,79,185,Cal. State-Fullerton,6/14/71
bowenry01,Ryan,Bowen,F,79,213,Iowa,11/20/75
bowiean01,Anthony,Bowie,G-F,78,190,Oklahoma,11/9/63
bowlior01,Orbie,Bowling,C,82,215,Tennessee,3/21/39
bowmair01,Ira,Bowman,G,77,195,Pennsylvania,6/11/73
boydde01,Dennis,Boyd,G,73,175,Detroit,5/21/54
boydke01,Ken,Boyd,F,77,195,Boston University,3/25/52
boykiea01,Earl,Boykins,G,65,133,Eastern Michigan,6/2/76
boykoha01,Harry,Boykoff,C,81.5,225,St. John's (NY),7/24/22
boynewi01,Winford,Boynes,G-F,78,185,San Francisco,5/17/57
bozemce01,Cedric,Bozeman,G,78,207,UCLA,3/7/83
brackcr01,Craig,Brackins,F,82,230,Iowa State,10/9/87
braddga01,Gary,Bradds,F,80,210,Ohio State,7/26/42
bradlal01,Alonzo,Bradley,F,78,190,Texas Southern,10/16/53
bradlal02,Alex,Bradley,F,78,215,Villanova,10/30/59
bradlav01,Avery,Bradley,G,74,180,Texas,11/26/90
bradlch01,Charles,Bradley,G,77,215,Wyoming,5/16/59
bradldu01,Dudley,Bradley,G-F,78,195,North Carolina,3/19/57
bradlmi01,Michael,Bradley,F,81,225,Villanova,4/18/79
bradlsh01,Shawn,Bradley,C,89,235,Brigham Young,3/22/72
bradtma01,Mark,Bradtke,C-F,82,265,none,9/27/68
braggma01,Marques,Bragg,F,80,230,Providence,3/24/70
braggto01,Torraye,Braggs,F,79,237,Xavier (OH),5/15/76
brancad01,Adrian,Branch,F-G,79,185,Maryland,11/17/63
brandel01,Elton,Brand,F-C,80,260,Duke,3/11/79
braunca01,Carl,Braun,G-F,77,180,Colgate,9/25/27
breweja01,Jamison,Brewer,G,76,180,Auburn,11/19/80
brewero02,Ronnie ,Brewer,G,79,220,Arkansas,3/20/85
brezepr01,Primoz,Brezec,C,85,243,none,10/2/79
brianfr01,Frank,Brian,G,73,180,Louisiana State,5/1/23
briskjo01,John,Brisker,F-G,77,210,Toledo,6/15/47
bristal01,Allan,Bristow,F-G,79,210,Virginia Tech,8/23/51
brittda01,David,Britton,G,76,180,Texas A&M,8/29/58
brittty01,Tyrone,Britt,G,76,190,Johnson C. Smith,4/18/44
brittwa01,Wayman,Britt,G,74,185,Michigan,8/31/52
brokaga01,Gary,Brokaw,G,76,178,Notre Dame,1/11/54
brookke01,Kevin,Brooks,F,78,200,Southwestern Louisiana,10/12/69
brookma01,MarShon,Brooks,G-F,77,200,Providence,1/26/89
brooksc01,Scott,Brooks,G,71,165,California-Irvine,7/31/65
brownan01,Andre,Brown,F,81,245,DePaul,5/12/81
brownda02,Damone,Brown,F,80,200,Syracuse,6/28/79
brownde02,Devin,Brown,G-F,77,210,Texas-San Antonio,12/30/78
browner01,Ernest,Brown,C,84,244,Indian Hills CC,5/17/79
brownfr01,Fred,Brown,G,75,182,Iowa,8/7/48
brownge01,George,Brown,F,78,190,Wayne State (MI),10/30/35
brownge02,Gerald,Brown,G,76,210,Pepperdine,7/28/75
brownha01,Harold,Brown,G,72,155,Evansville,10/2/23
brownjo01,John,Brown,F,79,220,Missouri,12/14/51
brownkw01,Kwame,Brown,C-F,83,240,none,3/10/82
brownle01,Leon,Brown,F,75,190,Wyoming,10/12/19
brownle02,Lewis,Brown,C,82,225,UNLV,2/19/55
brownma01,Marcus,Brown,G,75,185,Murray State,4/3/74
brownra01,Raymond,Brown,F,80,220,Idaho,7/5/65
brownra02,Randy,Brown,G,74,190,New Mexico State,5/22/68
brownri01,Rickey,Brown,C-F,82,215,Mississippi State,8/20/58
brownsh01,Shannon,Brown,G,76,205,Michigan State,11/29/85
brownti01,Tierre,Brown,G,74,189,McNeese State,6/3/79
brundst01,Stanley,Brundy,F,78,210,DePaul,11/13/67
brunkbr01,Brian,Brunkhorst,F,77.5,208,Marquette,6/12/45
brunsge01,George,Bruns,G,72,160,Manhattan,8/30/46
brunsri01,Rick,Brunson,G,76,190,Temple,6/14/72
bryanem01,Emmette,Bryant,G,73,175,DePaul,11/4/38
bryanko01,Kobe,Bryant,G,78,200,none,8/23/78
bryanma01,Mark,Bryant,F-C,81,245,Seton Hall,4/25/65
bryanwa01,Wallace,Bryant,C,84,245,San Francisco,7/14/59
brynto01,Torgeir,Bryn,C,81,250,SW Texas State,8/8/64
buccige01,George,Bucci,G,75,200,Manhattan,7/9/53
buckncl01,Cleveland,Buckner,F-C,81,210,Jackson State,8/17/38
